Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orient_x,Orient_y,Orient_z,Time
1.720233917,-10.97322464,-0.161010072,0.245355353,0.094471641,0.540058017,325.6542358,81.78479767,1.799108982,1.41677E+12
1.756745458,-11.07737255,-0.281318694,0.261543274,0.186712295,0.516234279,324.6497192,81.67159271,2.849689007,1.41677E+12
1.707664371,-11.10011768,-0.629675031,0.272538841,0.232832611,0.511958182,323.8423157,81.59470367,3.692968369,1.41677E+12
1.097142935,-11.4604454,-0.614112735,0.277120352,0.222447902,0.49607569,322.2863464,81.41281891,5.323052406,1.41677E+12
-0.317830265,-12.30499935,-1.327584863,0.258794367,0.177854747,0.454536855,321.2072754,81.41317749,6.43906641,1.41677E+12
1.961449742,-10.33816338,0.241215825,0.212674066,0.147922352,0.422466427,320.677002,81.28307343,7.003544807,1.41677E+12
1.459265947,-11.39041424,0.644040287,0.118295386,0.117379092,0.434378296,320.3937988,81.2543869,7.300104618,1.41677E+12
0.725443125,-12.13022327,-0.02873042,0.00620161,0.004063584,0.362296224,319.6872253,81.28717041,8.027054787,1.41677E+12
-0.572214186,-13.45840645,-0.317231715,-0.0435839,0.007728778,0.183618128,319.2961426,81.40238953,8.416804314,1.41677E+12
0.858919859,-11.66215611,0.240617275,-0.13460283,0.139370233,0.055947289,319.8056335,81.54350281,7.871948242,1.41677E+12
1.18752408,-11.05582523,0.902614057,-0.333134025,0.19343181,0.010132402,320.1276855,81.71103668,7.254297733,1.41677E+12
1.326387763,-10.85411358,1.175553083,-0.543577135,0.146089762,-0.07355614,321.0845337,82.03284454,6.224468231,1.41677E+12
-0.354940414,-12.12722969,0.89004451,-0.703623831,0.061179489,-0.232991964,322.2478333,82.49388885,4.965363503,1.41677E+12
-0.528520048,-9.96167469,-0.276530296,-0.828851163,0.028803628,-0.394260406,323.8109741,82.96268463,3.295984507,1.41677E+12
-0.805648863,-9.386467934,0.072424598,-0.982483804,0.031857956,-0.466037035,325.941864,83.50960541,1.037130713,1.41677E+12
-1.348534107,-8.923788071,0.050876785,-1.174295425,0.019640651,-0.506354153,328.9499817,84.22083282,357.8656616,1.41677E+12
-2.223614931,-9.428366661,0.368707061,-1.34839201,-0.041140445,-0.571716726,332.196228,84.90668488,354.4650879,1.41677E+12
-2.668337822,-8.671798706,0.128688335,-1.49377799,-0.067102216,-0.606230617,337.923645,85.76696014,348.5132446,1.41677E+12
-2.558803082,-8.046313286,0.693719923,-1.633360624,-0.054579474,-0.602565467,345.5548706,86.5271759,340.6919556,1.41677E+12
-2.312798738,-8.217498779,0.969651699,-1.761336923,-0.016094968,-0.589737296,358.0899658,87.25219727,327.9449768,1.41677E+12
-2.124255419,-9.266757965,0.70688808,-1.811733365,0.082865201,-0.623029411,16.97600365,87.74935913,308.8674927,1.41677E+12
-1.979406238,-10.21426296,0.883460402,-1.790963888,0.248409688,-0.702136457,48.07455063,87.78901672,277.5559998,1.41677E+12
-1.885433793,-11.35988808,0.51954174,-1.749730468,0.416397631,-0.769942522,62.87101746,87.58531952,262.9763489,1.41677E+12
-1.340154409,-11.53646088,0.33518824,-1.682840705,0.593243122,-0.806289017,81.03452301,86.72057343,244.6282806,1.41677E+12
-0.940322697,-11.55022717,-0.071826048,-1.619310737,0.798188388,-0.823393226,88.77229309,85.90820313,236.7911224,1.41677E+12
-0.673967779,-11.53825665,-0.353743315,-1.572579622,0.964038312,-0.813924849,94.5655365,84.9302063,231.5390167,1.41677E+12
-0.37289691,-11.59033012,-1.358709455,-1.506911516,1.085600495,-0.766888201,97.73042297,84.08483124,228.3856354,1.41677E+12
0.156221658,-12.5258646,-1.945288897,-1.44949019,1.088043928,-0.684115946,100.0065994,83.24187469,225.9618378,1.41677E+12
0.976235747,-12.36006641,-1.081580639,-1.442159891,0.882793248,-0.580574274,102.9472122,82.29693604,223.9936371,1.41677E+12
1.103726983,-11.6813097,-0.931942999,-1.449184775,0.500697017,-0.531705081,104.3868866,81.59690094,222.6013641,1.41677E+12
1.313818216,-11.40358257,-0.882263303,-1.44949019,0.282923579,-0.470313132,106.100174,80.98841858,221.4161072,1.41677E+12
1.156399369,-11.39819527,-1.020528436,-1.437883735,-0.048470818,-0.461760998,108.1655502,80.1325531,219.7154694,1.41677E+12
0.472854823,-11.20665932,-1.216853023,-1.399093866,-0.171254724,-0.486501038,109.5698776,79.41368103,218.3639069,1.41677E+12
0.338779539,-10.33038139,-1.384447098,-1.316627026,-0.250667214,-0.568356991,110.6369171,78.54265594,217.2661285,1.41677E+12
-0.429160655,-9.879673004,-1.352125406,-1.241490602,-0.368258774,-0.631886959,111.3215408,77.81599426,216.4798889,1.41677E+12
